i,rho_e,rho_g
0,1,0
1,0.99,0.01
2,0.97,0.03
3,0.94,0.06
4,0.94,0.06
5,0.92,0.08
6,0.91,0.09
7,0.9,0.1
8,0.88,0.12
9,0.87,0.13
10,0.86,0.14
11,0.85,0.15
12,0.82,0.18
13,0.8,0.2
14,0.8,0.2
15,0.79,0.21
16,0.77,0.23
17,0.74,0.26
18,0.71,0.29
19,0.71,0.29
20,0.71,0.29
21,0.71,0.29
22,0.7,0.3
23,0.7,0.3
24,0.69,0.31
25,0.67,0.33
26,0.67,0.33
27,0.67,0.33
28,0.65,0.35
29,0.65,0.35
30,0.65,0.35
31,0.65,0.35
32,0.64,0.36
33,0.63,0.37
34,0.61,0.39
35,0.61,0.39
36,0.6,0.4
37,0.6,0.4
38,0.6,0.4
39,0.59,0.41
40,0.59,0.41
41,0.59,0.41
42,0.58,0.42
43,0.55,0.45
44,0.55,0.45
45,0.55,0.45
46,0.54,0.46
47,0.53,0.47
48,0.51,0.49
49,0.49,0.51
50,0.48,0.52
51,0.47,0.53
52,0.47,0.53
53,0.47,0.53
54,0.47,0.53
55,0.46,0.54
56,0.46,0.54
57,0.45,0.55
58,0.44,0.56
59,0.42,0.58
60,0.4,0.6
61,0.4,0.6
62,0.38,0.62
63,0.38,0.62
64,0.38,0.62
65,0.38,0.62
66,0.36,0.64
67,0.36,0.64
68,0.36,0.64
69,0.35,0.65
70,0.35,0.65
71,0.35,0.65
72,0.35,0.65
73,0.35,0.65
74,0.34,0.66
75,0.34,0.66
76,0.34,0.66
77,0.34,0.66
78,0.34,0.66
79,0.34,0.66
80,0.33,0.67
81,0.33,0.67
82,0.33,0.67
83,0.33,0.67
84,0.33,0.67
85,0.33,0.67
86,0.31,0.69
87,0.31,0.69
88,0.31,0.69
89,0.31,0.69
90,0.31,0.69
91,0.3,0.7
92,0.3,0.7
93,0.3,0.7
94,0.3,0.7
95,0.29,0.71
96,0.29,0.71
97,0.29,0.71
98,0.28,0.72
99,0.28,0.72
100,0.28,0.72
101,0.27,0.73
102,0.27,0.73
103,0.27,0.73
104,0.25,0.75
105,0.25,0.75
106,0.25,0.75
107,0.25,0.75
108,0.25,0.75
109,0.24,0.76
110,0.24,0.76
111,0.24,0.76
112,0.24,0.76
113,0.24,0.76
114,0.23,0.77
115,0.23,0.77
116,0.23,0.77
117,0.22,0.78
118,0.22,0.78
119,0.22,0.78
120,0.22,0.78
121,0.22,0.78
122,0.19,0.81
123,0.19,0.81
124,0.17,0.83
125,0.16,0.84
126,0.16,0.84
127,0.15,0.85
128,0.15,0.85
129,0.15,0.85
130,0.15,0.85
131,0.15,0.85
132,0.15,0.85
133,0.15,0.85
134,0.15,0.85
135,0.15,0.85
136,0.15,0.85
137,0.15,0.85
138,0.15,0.85
139,0.15,0.85
140,0.14,0.86
141,0.14,0.86
142,0.14,0.86
143,0.14,0.86
144,0.14,0.86
145,0.14,0.86
146,0.14,0.86
147,0.14,0.86
148,0.14,0.86
149,0.14,0.86
150,0.13,0.87
151,0.13,0.87
152,0.13,0.87
153,0.13,0.87
154,0.13,0.87
155,0.12,0.88
156,0.12,0.88
157,0.12,0.88
158,0.12,0.88
159,0.12,0.88
160,0.12,0.88
161,0.12,0.88
162,0.12,0.88
163,0.12,0.88
164,0.12,0.88
165,0.12,0.88
166,0.12,0.88
167,0.12,0.88
168,0.12,0.88
169,0.12,0.88
170,0.11,0.89
171,0.11,0.89
172,0.11,0.89
173,0.11,0.89
174,0.11,0.89
175,0.11,0.89
176,0.11,0.89
177,0.1,0.9
178,0.1,0.9
179,0.1,0.9
180,0.1,0.9
181,0.1,0.9
182,0.1,0.9
183,0.1,0.9
184,0.1,0.9
185,0.1,0.9
186,0.1,0.9
187,0.1,0.9
188,0.1,0.9
189,0.1,0.9
190,0.1,0.9
191,0.1,0.9
192,0.09,0.91
193,0.08,0.92
194,0.08,0.92
195,0.08,0.92
196,0.08,0.92
197,0.08,0.92
198,0.08,0.92
199,0.08,0.92
200,0.08,0.92
201,0.08,0.92
202,0.08,0.92
203,0.08,0.92
204,0.08,0.92
205,0.08,0.92
206,0.07,0.93
207,0.07,0.93
208,0.07,0.93
209,0.07,0.93
210,0.06,0.94
211,0.05,0.95
212,0.05,0.95
213,0.05,0.95
214,0.05,0.95
215,0.05,0.95
216,0.05,0.95
217,0.05,0.95
218,0.05,0.95
219,0.05,0.95
220,0.05,0.95
221,0.05,0.95
222,0.05,0.95
223,0.05,0.95
224,0.05,0.95
225,0.05,0.95
226,0.05,0.95
227,0.04,0.96
228,0.04,0.96
229,0.04,0.96
230,0.04,0.96
231,0.04,0.96
232,0.04,0.96
233,0.04,0.96
234,0.04,0.96
235,0.04,0.96
236,0.04,0.96
237,0.04,0.96
238,0.04,0.96
239,0.04,0.96
240,0.04,0.96
241,0.04,0.96
242,0.04,0.96
243,0.04,0.96
244,0.04,0.96
245,0.04,0.96
246,0.03,0.97
247,0.03,0.97
248,0.03,0.97
249,0.02,0.98
250,0.02,0.98
251,0.02,0.98
252,0.02,0.98
253,0.02,0.98
254,0.02,0.98
255,0.02,0.98
256,0.02,0.98
257,0.02,0.98
258,0.02,0.98
259,0.02,0.98
260,0.01,0.99
261,0.01,0.99
262,0.01,0.99
263,0.01,0.99
264,0.01,0.99
265,0.01,0.99
266,0.01,0.99
267,0.01,0.99
268,0.01,0.99
269,0.01,0.99
270,0.01,0.99
271,0.01,0.99
272,0.01,0.99
273,0.01,0.99
274,0.01,0.99
275,0.01,0.99
276,0.01,0.99
277,0.01,0.99
278,0.01,0.99
279,0.01,0.99
280,0.01,0.99
281,0.01,0.99
282,0.01,0.99
283,0.01,0.99
284,0.01,0.99
285,0.01,0.99
286,0.01,0.99
287,0.01,0.99
288,0.01,0.99
289,0.01,0.99
290,0.01,0.99
291,0.01,0.99
292,0.01,0.99
293,0.01,0.99
294,0.01,0.99
295,0.01,0.99
296,0.01,0.99
297,0.01,0.99
298,0.01,0.99
299,0.01,0.99
300,0.01,0.99
301,0.01,0.99
302,0.01,0.99
303,0.01,0.99
304,0.01,0.99
305,0.01,0.99
306,0.01,0.99
307,0.01,0.99
308,0.01,0.99
309,0.01,0.99
310,0.01,0.99
311,0.01,0.99
312,0.01,0.99
313,0.01,0.99
314,0.01,0.99
315,0.01,0.99
316,0.01,0.99
317,0.01,0.99
318,0.01,0.99
319,0.01,0.99
320,0.01,0.99
321,0.01,0.99
322,0.01,0.99
323,0.01,0.99
324,0.01,0.99
325,0.01,0.99
326,0.01,0.99
327,0.01,0.99
328,0.01,0.99
329,0.01,0.99
330,0.01,0.99
331,0.01,0.99
332,0.01,0.99
333,0.01,0.99
334,0.01,0.99
335,0.01,0.99
336,0.01,0.99
337,0.01,0.99
338,0.01,0.99
339,0.01,0.99
340,0.01,0.99
341,0.01,0.99
342,0.01,0.99
343,0.01,0.99
344,0.01,0.99
345,0.01,0.99
346,0.01,0.99
347,0.01,0.99
348,0.01,0.99
349,0.01,0.99
350,0.01,0.99
351,0.01,0.99
352,0.01,0.99
353,0.01,0.99
354,0.01,0.99
355,0.01,0.99
356,0.01,0.99
357,0.01,0.99
358,0.01,0.99
359,0.01,0.99
360,0.01,0.99
361,0.01,0.99
362,0.01,0.99
363,0.01,0.99
364,0.01,0.99
365,0.01,0.99
366,0.01,0.99
367,0.01,0.99
368,0.01,0.99
369,0.01,0.99
370,0.01,0.99
371,0.01,0.99
372,0.01,0.99
373,0.01,0.99
374,0.01,0.99
375,0.01,0.99
376,0.01,0.99
377,0.01,0.99
378,0.01,0.99
379,0.01,0.99
380,0.01,0.99
381,0.01,0.99
382,0.01,0.99
383,0.01,0.99
384,0.01,0.99
385,0.01,0.99
386,0.01,0.99
387,0.01,0.99
388,0.01,0.99
389,0.01,0.99
390,0.01,0.99
391,1.20256e-34,1
392,1.19207e-34,1
393,1.18192e-34,1
394,1.1721e-34,1
395,1.1626e-34,1
396,1.15341e-34,1
397,1.14452e-34,1
398,1.13591e-34,1
399,1.1276e-34,1
400,1.11955e-34,1
401,1.11177e-34,1
402,1.10425e-34,1
403,1.09698e-34,1
404,1.08994e-34,1
405,1.08315e-34,1
406,1.07658e-34,1
407,1.07023e-34,1
408,1.06409e-34,1
409,1.05816e-34,1
410,1.05244e-34,1
411,1.0469e-34,1
412,1.04156e-34,1
413,1.0364e-34,1
414,1.03141e-34,1
415,1.0266e-34,1
